nombre,match_query,match_result,record,values,destTable,sourceTable
April Gonzalez,AprilGonzalez,AprilGonzalez,100.0%,"{'nombre': 'April', 'apellido': 'Gonzalez'}",Clientes,Usuarios
Colton Collins,ColtonCollins,ColtonCollins,100.0%,"{'nombre': 'Colton', 'apellido': 'Collins'}",Clientes,Usuarios
Joseph Yang,JosephYang,JosephYang,100.0%,"{'nombre': 'Joseph', 'apellido': 'Yang'}",Clientes,Usuarios
Michelle Logan,MichelleLogan,MichelleLogan,100.0%,"{'nombre': 'Michelle', 'apellido': 'Logan'}",Clientes,Usuarios
Mary Pollard,MaryPollard,MaryPollard,100.0%,"{'nombre': 'Mary', 'apellido': 'Pollard'}",Clientes,Usuarios
Gail Harris,GailHarris,GailHarris,100.0%,"{'nombre': 'Gail', 'apellido': 'Harris'}",Clientes,Usuarios
Lauren Fletcher,LaurenFletcher,LaurenFletcher,100.0%,"{'nombre': 'Lauren', 'apellido': 'Fletcher'}",Clientes,Usuarios
Alan Liu,AlanLiu,AlanLiu,100.0%,"{'nombre': 'Alan', 'apellido': 'Liu'}",Clientes,Usuarios
Douglas Williams,DouglasWilliams,DouglasWilliams,100.0%,"{'nombre': 'Douglas', 'apellido': 'Williams'}",Clientes,Usuarios
Daniel Smith,DanielSmith,DanielSmith,100.0%,"{'nombre': 'Daniel', 'apellido': 'Smith'}",Clientes,Usuarios
Christopher Jensen,ChristopherJensen,ChristopherJensen,100.0%,"{'nombre': 'Christopher', 'apellido': 'Jensen'}",Clientes,Usuarios
Haley Rodriguez,HaleyRodriguez,HaleyRodriguez,100.0%,"{'nombre': 'Haley', 'apellido': 'Rodriguez'}",Clientes,Usuarios
Alexis Cox,AlexisCox,AlexisCox,100.0%,"{'nombre': 'Alexis', 'apellido': 'Cox'}",Clientes,Usuarios
Deborah Davis,DeborahDavis,DeborahDavis,100.0%,"{'nombre': 'Deborah', 'apellido': 'Davis'}",Clientes,Usuarios
Brenda Reynolds,BrendaReynolds,BrendaReynolds,100.0%,"{'nombre': 'Brenda', 'apellido': 'Reynolds'}",Clientes,Usuarios
Paul Nash,PaulNash,PaulNash,100.0%,"{'nombre': 'Paul', 'apellido': 'Nash'}",Clientes,Usuarios
Steven Parsons,StevenParsons,StevenParsons,100.0%,"{'nombre': 'Steven', 'apellido': 'Parsons'}",Clientes,Usuarios
Adrian Richards,AdrianRichards,AdrianRichards,100.0%,"{'nombre': 'Adrian', 'apellido': 'Richards'}",Clientes,Usuarios
Kristin Hall,KristinHall,KristinHall,100.0%,"{'nombre': 'Kristin', 'apellido': 'Hall'}",Clientes,Usuarios
Gerald Brown,GeraldBrown,GeraldBrown,100.0%,"{'nombre': 'Gerald', 'apellido': 'Brown'}",Clientes,Usuarios
