name_complet,match_query,match_result,score,match_result_values,destTable,sourceTable
April Gonzalez,AprilGonzalez,AprilGonzalez,100.0%,"{'nombre': 'April', 'apellido': 'Gonzalez'}",Clientes,Usuarios
Colton Collins,ColtonCollins,ColtonCollins,100.0%,"{'nombre': 'Colton', 'apellido': 'Collins'}",Clientes,Usuarios
Joseph Yang,JosephYang,JosephYang,100.0%,"{'nombre': 'Joseph', 'apellido': 'Yang'}",Clientes,Usuarios
Michelle Logan,MichelleLogan,MichelleLogan,100.0%,"{'nombre': 'Michelle', 'apellido': 'Logan'}",Clientes,Usuarios
Mary Pollard,MaryPollard,MaryPollard,100.0%,"{'nombre': 'Mary', 'apellido': 'Pollard'}",Clientes,Usuarios
Gail Harris,GailHarris,GailHarris,100.0%,"{'nombre': 'Gail', 'apellido': 'Harris'}",Clientes,Usuarios
Lauren Fletcher,LaurenFletcher,LaurenFletcher,100.0%,"{'nombre': 'Lauren', 'apellido': 'Fletcher'}",Clientes,Usuarios
Alan Liu,AlanLiu,AlanLiu,100.0%,"{'nombre': 'Alan', 'apellido': 'Liu'}",Clientes,Usuarios
Douglas Williams,DouglasWilliams,DouglasWilliams,100.0%,"{'nombre': 'Douglas', 'apellido': 'Williams'}",Clientes,Usuarios
Daniel Smith,DanielSmith,DanielSmith,100.0%,"{'nombre': 'Daniel', 'apellido': 'Smith'}",Clientes,Usuarios
Christopher Jensen,ChristopherJensen,ChristopherJensen,100.0%,"{'nombre': 'Christopher', 'apellido': 'Jensen'}",Clientes,Usuarios
Haley Rodriguez,HaleyRodriguez,HaleyRodriguez,100.0%,"{'nombre': 'Haley', 'apellido': 'Rodriguez'}",Clientes,Usuarios
Alexis Cox,AlexisCox,AlexisCox,100.0%,"{'nombre': 'Alexis', 'apellido': 'Cox'}",Clientes,Usuarios
Deborah Davis,DeborahDavis,DeborahDavis,100.0%,"{'nombre': 'Deborah', 'apellido': 'Davis'}",Clientes,Usuarios
Brenda Reynolds,BrendaReynolds,BrendaReynolds,100.0%,"{'nombre': 'Brenda', 'apellido': 'Reynolds'}",Clientes,Usuarios
Paul Nash,PaulNash,PaulNash,100.0%,"{'nombre': 'Paul', 'apellido': 'Nash'}",Clientes,Usuarios
Steven Parsons,StevenParsons,StevenParsons,100.0%,"{'nombre': 'Steven', 'apellido': 'Parsons'}",Clientes,Usuarios
Adrian Richards,AdrianRichards,AdrianRichards,100.0%,"{'nombre': 'Adrian', 'apellido': 'Richards'}",Clientes,Usuarios
Kristin Hall,KristinHall,KristinHall,100.0%,"{'nombre': 'Kristin', 'apellido': 'Hall'}",Clientes,Usuarios
Gerald Brown,GeraldBrown,GeraldBrown,100.0%,"{'nombre': 'Gerald', 'apellido': 'Brown'}",Clientes,Usuarios
Susan Freeman,SusanFreeman,SusanFreeman,100.0%,"{'nombre': 'Susan', 'apellido': 'Freeman'}",Clientes,Usuarios
Gary Thornton,GaryThornton,GaryThornton,100.0%,"{'nombre': 'Gary', 'apellido': 'Thornton'}",Clientes,Usuarios
Joyce Bailey,JoyceBailey,JoyceBailey,100.0%,"{'nombre': 'Joyce', 'apellido': 'Bailey'}",Clientes,Usuarios
Allison Hill,AllisonHill,AllisonHill,100.0%,"{'nombre': 'Allison', 'apellido': 'Hill'}",Clientes,Usuarios
Jamie Miller,JamieMiller,JamieMiller,100.0%,"{'nombre': 'Jamie', 'apellido': 'Miller'}",Clientes,Usuarios
Kimberly Johnson,KimberlyJohnson,KimberlyJohnson,100.0%,"{'nombre': 'Kimberly', 'apellido': 'Johnson'}",Clientes,Usuarios
Elizabeth Smith,ElizabethSmith,ElizabethSmith,100.0%,"{'nombre': 'Elizabeth', 'apellido': 'Smith'}",Clientes,Usuarios
Shelly Estes,ShellyEstes,ShellyEstes,100.0%,"{'nombre': 'Shelly', 'apellido': 'Estes'}",Clientes,Usuarios
Jacob Williams,JacobWilliams,JacobWilliams,100.0%,"{'nombre': 'Jacob', 'apellido': 'Williams'}",Clientes,Usuarios
Roberto Chang,RobertoChang,RobertoChang,100.0%,"{'nombre': 'Roberto', 'apellido': 'Chang'}",Clientes,Usuarios
Karen Smith,KarenSmith,KarenSmith,100.0%,"{'nombre': 'Karen', 'apellido': 'Smith'}",Clientes,Usuarios
Anthony Hernandez,AnthonyHernandez,AnthonyHernandez,100.0%,"{'nombre': 'Anthony', 'apellido': 'Hernandez'}",Clientes,Usuarios
Breanna Watts,BreannaWatts,BreannaWatts,100.0%,"{'nombre': 'Breanna', 'apellido': 'Watts'}",Clientes,Usuarios
Nicholas Marshall,NicholasMarshall,NicholasMarshall,100.0%,"{'nombre': 'Nicholas', 'apellido': 'Marshall'}",Clientes,Usuarios
