name_complet,email,match_query,match_result,score,match_result_values,destTable,sourceTable
David Downs,user1@example.com,"{'first_name': 'David', 'last_name': 'Downs', 'email': 'user1@example.com'}","{'first_name': 'Gerald', 'last_name': 'Brown', 'email': 'user27@example.com'}",70.98701298701299%,"{'nombre': 'Gerald', 'apellido': 'Brown', 'email': 'user27@example.com'}",Clientes,Usuarios
Robert Davis,user2@example.com,"{'first_name': 'Robert', 'last_name': 'Davis', 'email': 'user2@example.com'}","{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",84.72527472527472%,"{'nombre': 'Deborah', 'apellido': 'Davis', 'email': 'user21@example.com'}",Clientes,Usuarios
Mary Wells,user3@example.com,"{'first_name': 'Mary', 'last_name': 'Wells', 'email': 'user3@example.com'}","{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",75.71428571428571%,"{'nombre': 'Mary', 'apellido': 'Pollard', 'email': 'user12@example.com'}",Clientes,Usuarios
Bethany Harmon,user4@example.com,"{'first_name': 'Bethany', 'last_name': 'Harmon', 'email': 'user4@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",76.15384615384615%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Brenda Meyers,user5@example.com,"{'first_name': 'Brenda', 'last_name': 'Meyers', 'email': 'user5@example.com'}","{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}",78.57142857142858%,"{'nombre': 'Brenda', 'apellido': 'Reynolds', 'email': 'user22@example.com'}",Clientes,Usuarios
Yvonne Jensen,user6@example.com,"{'first_name': 'Yvonne', 'last_name': 'Jensen', 'email': 'user6@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",80.4201680672269%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
April Gonzalez,user8@example.com,"{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}","{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",100.0%,"{'nombre': 'April', 'apellido': 'Gonzalez', 'email': 'user8@example.com'}",Clientes,Usuarios
Colton Collins,user9@example.com,"{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}","{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}",100.0%,"{'nombre': 'Colton', 'apellido': 'Collins', 'email': 'user9@example.com'}",Clientes,Usuarios
Joseph Yang,user10@example.com,"{'first_name': 'Joseph', 'last_name': 'Yang', 'email': 'user10@example.com'}","{'first_name': 'Joseph', 'last_name': 'Yang', 'email': 'theseven@example.com'}",86.84210526315789%,"{'nombre': 'Joseph', 'apellido': 'Yang', 'email': 'theseven@example.com'}",Clientes,Usuarios
Michelle Logan,user11@example.com,"{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}","{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",100.0%,"{'nombre': 'Michelle', 'apellido': 'Logan', 'email': 'user11@example.com'}",Clientes,Usuarios
