name_complet,email,match_query,match_result,score,match_result_values,destTable,sourceTable
Robert Davis,user2@example.com,"{'first_name': 'Robert', 'last_name': 'Davis', 'email': 'user2@example.com'}","{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",77.8021978021978%,"{'nombre': 'Deborah', 'apellido': 'Davis', 'email': 'user21@example.com'}",Clientes,Usuarios
Mary Wells,user3@example.com,"{'first_name': 'Mary', 'last_name': 'Wells', 'email': 'user3@example.com'}","{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",82.38095238095238%,"{'nombre': 'Mary', 'apellido': 'Pollard', 'email': 'user12@example.com'}",Clientes,Usuarios
Bethany Harmon,user4@example.com,"{'first_name': 'Bethany', 'last_name': 'Harmon', 'email': 'user4@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",72.08791208791209%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Brenda Meyers,user5@example.com,"{'first_name': 'Brenda', 'last_name': 'Meyers', 'email': 'user5@example.com'}","{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}",84.28571428571429%,"{'nombre': 'Brenda', 'apellido': 'Reynolds', 'email': 'user22@example.com'}",Clientes,Usuarios
Yvonne Jensen,user6@example.com,"{'first_name': 'Yvonne', 'last_name': 'Jensen', 'email': 'user6@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",72.77310924369749%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Joe Ferguson,user7@example.com,"{'first_name': 'Joe', 'last_name': 'Ferguson', 'email': 'user7@example.com'}","{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}",71.07142857142858%,"{'nombre': 'Joyce', 'apellido': 'Bailey', 'email': 'user30@example.com'}",Clientes,Usuarios
April Gonzalez,user8@example.com,"{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}","{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",100.0%,"{'nombre': 'April', 'apellido': 'Gonzalez', 'email': 'user8@example.com'}",Clientes,Usuarios
Colton Collins,user9@example.com,"{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}","{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}",100.0%,"{'nombre': 'Colton', 'apellido': 'Collins', 'email': 'user9@example.com'}",Clientes,Usuarios
Joseph Yang,user10@example.com,"{'first_name': 'Joseph', 'last_name': 'Yang', 'email': 'user10@example.com'}","{'first_name': 'Joseph', 'last_name': 'Yang', 'email': 'theseven@example.com'}",86.84210526315789%,"{'nombre': 'Joseph', 'apellido': 'Yang', 'email': 'theseven@example.com'}",Clientes,Usuarios
Michelle Logan,user11@example.com,"{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}","{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",100.0%,"{'nombre': 'Michelle', 'apellido': 'Logan', 'email': 'user11@example.com'}",Clientes,Usuarios
Mary Pollard,user12@example.com,"{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}","{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",100.0%,"{'nombre': 'Mary', 'apellido': 'Pollard', 'email': 'user12@example.com'}",Clientes,Usuarios
Gail Harris,user13@example.com,"{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}","{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",100.0%,"{'nombre': 'Gail', 'apellido': 'Harris', 'email': 'user13@example.com'}",Clientes,Usuarios
Lauren Fletcher,user14@example.com,"{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}","{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}",100.0%,"{'nombre': 'Lauren', 'apellido': 'Fletcher', 'email': 'user14@example.com'}",Clientes,Usuarios
Alan Liu,user15@example.com,"{'first_name': 'Alan', 'last_name': 'Liu', 'email': 'user15@example.com'}","{'first_name': 'Alan', 'last_name': 'Liu', 'email': 'user15@example.com'}",100.0%,"{'nombre': 'Alan', 'apellido': 'Liu', 'email': 'user15@example.com'}",Clientes,Usuarios
Douglas Williams,user16@example.com,"{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}","{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}",100.0%,"{'nombre': 'Douglas', 'apellido': 'Williams', 'email': 'user16@example.com'}",Clientes,Usuarios
Daniel Smith,user17@example.com,"{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}","{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",100.0%,"{'nombre': 'Daniel', 'apellido': 'Smith', 'email': 'user17@example.com'}",Clientes,Usuarios
Christopher Jensen,user18@example.com,"{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",100.0%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Haley Rodriguez,user19@example.com,"{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}","{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",100.0%,"{'nombre': 'Haley', 'apellido': 'Rodriguez', 'email': 'user19@example.com'}",Clientes,Usuarios
Alexis Cox,user20@example.com,"{'first_name': 'Alexis', 'last_name': 'Cox', 'email': 'user20@example.com'}","{'first_name': 'Alexis', 'last_name': 'Cox', 'email': 'user20@example.com'}",100.0%,"{'nombre': 'Alexis', 'apellido': 'Cox', 'email': 'user20@example.com'}",Clientes,Usuarios
Deborah Davis,user21@example.com,"{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}","{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",100.0%,"{'nombre': 'Deborah', 'apellido': 'Davis', 'email': 'user21@example.com'}",Clientes,Usuarios
